CECATI,Especialidad,Clave,Año,Modalidad
74,Mantenimiento a Equipos y Sistemas Electronicos,04-SIEME-2019A,2022,Presencial
74,Sastrerá,13-S-2017A,2022,Presencial
74,Soporte a Instalaciones Eléctricas y Motores Eléctricos,04-SIEME-2019A,2022,Presencial
74,Soporte Técnico a Equipos y Sistemas Computacionales,11-STESC-2019A,2022,Presencial
74,Uso de la Lengua Inglesa en Diversos Contextos,22-ULIDC-2019A,2022,Presencial
74,Asistencia Educativa Inicial y Preescolar,26-AE-2019A,2022,Presencial
74,Informática,23-O-2019A,2022,Mixta
75,Administración,25-A-2019A,2022,Presencial
75,Alimentos y Bebidas,30-AB-2018A,2022,Presencial
75,Aplicación de Masajes en SPA,29-MS-2019A,2022,Presencial
75,Aplicación de Normas y Procedimientos Contables y Fiscales,25-ANPCFEE-2017A,2022,Presencial
75,Asistencia Ejecutiva,25-AE-2017A,2022,Presencial
75,Confección de Prendas de Vestir,13-CIR-2022A,2023,Mixta
75,Cuidados Cosmetológicos Faciales y Corporales,29-C-2019A,2022,Presencial
75,Estilismo y Diseño de Imagen,29-EDI-2019A,2022,Presencial
75,Expresión Gráfica Digital,22-EGD-2017A,2022,Presencial
75,Uso de la Lengua Inglesa en Diversos Contextos,22-ULIDC-2019A,2022,Presencial
75,Asistencia Educativa Inicial y Preescolar,26-AE-2019A,2022,Presencial
75,Informática,23-O-2019A,2022,Mixta
99,Administración,25-A-2019A,2022,Presencial
99,Alimentos y Bebidas,30-AB-2018A,2022,Presencial
99,Cuidados Cosmetológicos Faciales y Corporales,29-C-2019A,2022,Presencial
99,Estilismo y Diseño de Imagen,29-EDI-2019A,2022,Presencial
99,Expresión Gráfica Digital,22-EGD-2017A,2022,Presencial
99,Soporte Técnico a Equipos y Sistemas Computacionales,11-STESC-2019A,2022,Presencial
99,Uso de la Lengua Inglesa en Diversos Contextos,22-ULIDC-2019A,2022,Presencial
99,Asistencia Educativa Inicial y Preescolar,26-AE-2019A,2022,Presencial
